256	1
1	9
2	13
3	8
4	18
133	1
6	12
7	7
8	11
9	7
10	16
11	8
12	8
13	7
14	7
15	12
16	3
17	3
18	8
19	6
20	9
21	1
22	7
23	4
24	5
196	1
26	3
47	1
28	7
29	3
30	5
5	6
32	1
33	2
34	3
35	3
36	1
37	2
38	4
39	3
31	2
41	4
42	1
43	3
159	1
45	1
46	1
175	1
27	3
51	1
52	1
53	1
55	2
57	1
59	2
60	1
318	1
64	1
65	1
48	1
69	1
73	1
207	1
82	1
152	1
348	1
315	1
44	1
140	1
137	1
251	1
256	1

1	9

2	13

3	8

4	18

133	1

6	12

7	7

8	11

9	7

10	16

11	8

12	8

13	7

14	7

15	12

16	3

17	3

18	8

19	6

20	9

21	1

22	7

23	4

24	5

196	1

26	3

47	1

28	7

29	3

30	5

5	6

32	1

33	2

34	3

35	3

36	1

37	2

38	4

39	3

31	2

41	4

42	1

43	3

159	1

45	1

46	1

175	1

27	3

51	1

52	1

53	1

55	2

57	1

59	2

60	1

318	1

64	1

65	1

48	1

69	1

73	1

207	1

82	1

152	1

348	1

315	1

44	1

140	1

137	1

251	1

